old_url,new_url,redirect_type,traffic,impressions,source,notes
https://fesagency.pt/en/digital-marketing-services/,/systems/,301,6,1039,GSC-Performance; GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands. Notable traffic (6c/1039i) — confirm Systems messaging covers this specific service."
https://fesagency.pt/en/employer-branding/,/systems/,301,1,612,GSC-Performance; GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands. Notable traffic (1c/612i) — confirm Systems messaging covers this specific service."
https://fesagency.pt/en/events/,PENDING — awaiting Liliana's nav decision,pending,7,574,GSC-Performance; GSC-Coverage; ScreamingFrog,Events nav placement (own nav item vs. demoted under Systems/Projects) is pending Liliana's sign-off per Phase 0A action item 3. Do not build a redirect until that decision lands.
https://fesagency.pt/en/iefp/,NEEDS MANUAL REVIEW,manual-review,0,3,GSC-Performance,Unclear page (IEFP = Portuguese public employment institute) — likely a partnership/case-study page. Minimal traffic (0c/3i) but unclear which surviving section it belongs to (Projects? Resources?). Check page content before mapping; best guess /projects/ if it's a case study.
https://fesagency.pt/en/landing-page/,NEEDS MANUAL REVIEW,manual-review,0,1,GSC-Performance,"Generic slug, 0c/1i, no identifiable content signal. Likely a stale campaign landing page. Confirm it's safe to retire rather than guess a target."
https://fesagency.pt/en/lets-automate-your-business/,NEEDS MANUAL REVIEW,manual-review,0,22,GSC-Performance,Sounds like an automation-focused sales/service page (0c/22i). Best guess /systems/ (Growth Communication System?) but not confident enough to auto-map — confirm against old page content.
https://fesagency.pt/en/offsite-team-building-experiences/,NEEDS MANUAL REVIEW,manual-review,2,117,GSC-Performance,"Real traffic (2c/117i) for an offsite/team-building service page. Could fold into Systems as a service, or relate to the pending Events decision (site has multiple offsite-themed blog posts). Flag alongside Liliana's Events sign-off rather than guessing."
https://fesagency.pt/en/privacy-policy/,/privacy-policy/,200,1,253,GSC-Performance; GSC-Coverage; ScreamingFrog,"Survives unchanged, legal page."
https://fesagency.pt/en/profile-building-services/,/systems/,301,1,304,GSC-Performance; GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/,/projects/,200,1,295,GSC-Performance; GSC-Coverage; ScreamingFrog,Projects hub page.
https://fesagency.pt/en/projects/areias-advogados/,/projects/areias-advogados/,200,,,ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/coverflex/,/projects/coverflex/,200,0,21,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/dashlane/,/projects/dashlane/,200,0,22,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/deeply-content-creation/,/projects/deeply-content-creation/,200,0,2,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/deeply-pr/,/projects/deeply-pr/,200,1,5,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/eneg-2021-by-apda/,/projects/eneg-2021-by-apda/,200,0,23,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/euvc/,/projects/euvc/,200,3,985,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/guide-porto-start-scale/,/projects/guide-porto-start-scale/,200,0,39,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/hack-for-good-gulbenkian/,/projects/hack-for-good-gulbenkian/,200,0,9,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/hackhustle/,/projects/hackhustle/,200,0,31,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/hypelabs/,/projects/hypelabs/,200,,,ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/icpc-porto-2019/,/projects/icpc-porto-2019/,200,0,201,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/infraspeak-ifm-tour-2022/,/projects/infraspeak-ifm-tour-2022/,200,2,139,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/isssp-creative-solutions/,/projects/isssp-creative-solutions/,200,,,ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/isssp-digital-actions/,/projects/isssp-digital-actions/,200,0,32,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/itsector/,/projects/itsector/,200,1,467,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/landing-jobs/,/projects/landing-jobs/,200,1,203,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/loqr/,/projects/loqr/,200,,,ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/made-magazine-with-investamarante/,/projects/made-magazine-with-investamarante/,200,0,2,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/media-relations-anchorage-digital/,/projects/media-relations-anchorage-digital/,200,11,3589,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/natixis/,/projects/natixis/,200,16,967,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/nbanks/,/projects/nbanks/,200,0,19,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/ndc-porto/,/projects/ndc-porto/,200,3,1423,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/new-work-se-digital-actions/,/projects/new-work-se-digital-actions/,200,0,17,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/new-work-se-public-relations/,/projects/new-work-se-public-relations/,200,0,15,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/outsystems/,/projects/outsystems/,200,0,66,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/polar-insight/,/projects/polar-insight/,200,0,7,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/porto-energy-hub/,/projects/porto-energy-hub/,200,0,10,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/porto-innovation-hub/,/projects/porto-innovation-hub/,200,0,140,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/porto-summer-academy/,/projects/porto-summer-academy/,200,0,2,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/porto-tech/,/projects/porto-tech/,200,1,182,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/portugal-empreende-4-0/,/projects/portugal-empreende-4-0/,200,1,23,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/pwit-x-edp-booklet/,/projects/pwit-x-edp-booklet/,200,0,6,GSC-Performance; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/scale-cities/,/projects/scale-cities/,200,0,16,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/scaleup-porto/,/projects/scaleup-porto/,200,2,370,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/services/content-creation/,/systems/,301,0,4,GSC-Performance,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/creative-solutions/,/systems/,301,,,GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/design/,/systems/,301,,,ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands. NOTE: most recent crawl (2026-07-24) shows this at slug 'design', but GSC's indexed copy (last crawled 2026-06-22) has it at 'creative-solutions' — looks like a slug rename on the live site; same underlying page."
https://fesagency.pt/en/projects/services/digital-marketing/,/systems/,301,1,22,GSC-Performance; GSC-Coverage; ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/employer-branding/,/systems/,301,0,2,GSC-Performance; GSC-Coverage; ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/internal-communication/,/systems/,301,0,3,GSC-Performance,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/profile-building/,/systems/,301,0,1,GSC-Performance; ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/public-relations/,/systems/,301,0,27,GSC-Performance; GSC-Coverage; ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/services/video-photography/,/systems/,301,,,ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/projects/start-scale-week/,/projects/start-scale-week/,200,0,54,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/trojan-horse-was-a-unicorn-2018/,/projects/trojan-horse-was-a-unicorn-2018/,200,0,446,GSC-Performance; GSC-Coverage; ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/projects/unsettled/,/projects/unsettled/,200,,,ScreamingFrog,"Individual project page, survives unchanged (prefix dropped at launch)."
https://fesagency.pt/en/public-relations-services/,/systems/,301,1,363,GSC-Performance; GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands."
https://fesagency.pt/en/resources/,/resources/,301,0,123,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/10-tips-to-stay-productive/,/resources/,301,0,24,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/2023-a-challenging-year-the-turning-point/,/resources/,301,1,145,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/3-green-challenges-for-companies/,/resources/,301,0,19,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/4-month-challenge-a-final-round-of-inspiration/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/8-tips-about-communities/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/9-market-trends-for-2022/,/resources/,301,0,20,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/achieving-work-life-balance-10-essential-tips/,/resources/,301,0,26,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/automation-in-2022/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/conversas-sobre-comunicacao-podcast-highlights-to-retain-and-learn-from/,/resources/,301,1,89,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/digitalization-and-globalization-arrived-to-change-things-up/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/effective-pr-tactics-for-business-growth/,/resources/,301,0,375,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/exciting-discoveries-at-the-future-of-work-startup-showcase-in-web-summit-2023/,/resources/,301,0,142,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/fes-agency-across-ecosystems-how-were-powering-startup-growth-in-porto-lisbon-and-braga/,/resources/,301,0,117,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/fes-agency-services-through-the-magnifier/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/fes-agency-sim-conference/,/resources/,301,0,5,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/how-to-attract-talent-2-important-strategies-to-know/,/resources/,301,0,1,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/how-to-communicate-to-attract-talent/,/resources/,301,1,101,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/how-to-create-a-digital-event-step-by-step/,/resources/,301,1,147,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/how-to-create-a-pr-strategy-based-on-podcasts/,/resources/,301,0,154,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/how-to-work-abroad-efficiently/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/inclusion-and-participation/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/long-term-partnerships-fes/,/resources/,301,1,33,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/month-1-entrepreneurship-101-and-new-ideas/,/resources/,301,1,16,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/month-2-interviews-and-recap/,/resources/,301,0,23,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/month-3-building-an-mvp-and-getting-to-know-the-big-elephant-in-the-room/,/resources/,301,0,239,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/month-4-are-you-ready-to-pitch-and-the-ins-and-outs-of-raising-money/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/navigating-the-tomorrow-our-team-insights-from-web-summit-2023/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/porto-tech-a-journey-were-proud-to-shape/,/resources/,301,0,25,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/reasons-why-startups-need-pr/,/resources/,301,0,31,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/setof-swiss-army-knife-campaign/,/resources/,301,0,10,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/tips-to-organize-an-offsite-meeting/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/top-5-tech-events-not-to-miss-in-portugal/,NEEDS MANUAL REVIEW,manual-review,2,737,GSC-Performance; GSC-Coverage; ScreamingFrog,"Non-trivial traffic (2 clicks / 737 impr) for a /resources/ page being folded into the generic hub — needs a specific target, not auto-mapped to /resources/. Decent impression volume for an events-adjacent blog post; consider whether it belongs under a future Events section instead of the generic Resources hub."
https://fesagency.pt/en/resources/blog/venture-studios-subvisual-cronstudio/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-awards-celebration-focused-events/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-crypto-and-blockchain-focused-events/,/resources/,301,0,2,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-everything-about-innovation-investors-and-investment-events/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-everything-and-everyone-type-of-events/,/resources/,301,0,1,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-learning-events/,/resources/,301,0,47,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-networking-events/,NEEDS MANUAL REVIEW,manual-review,2,196,GSC-Performance; GSC-Coverage; ScreamingFrog,"Non-trivial traffic (2 clicks / 196 impr) for a /resources/ page being folded into the generic hub — needs a specific target, not auto-mapped to /resources/."
https://fesagency.pt/en/resources/blog/web-summit-open-house-kind-of-events/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-party-drinks-events/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-pitch-demo-focused-events/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/web-summit-women-focused-events/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/what-not-to-include-in-press-release/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/where-showcase-employer-brand-7-strategic-places/,/resources/,301,0,49,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/why-portugal-is-the-best-place-for-your-offsite-retreat/,/resources/,301,1,334,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/blog/wrap-up-2022/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/community-playbook/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/copywriting-101-playbook/,/resources/,301,0,29,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/digital-marketing-playbook/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/internal-comms-playbook/,/resources/,301,0,22,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/offsites-as-a-representation-of-the-future-of-work-playbook/,/resources/,301,0,1,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/online-events-playbook/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/press-playbook/,/resources/,301,0,4,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/reddit-ads-playbook/,/resources/,301,1,10,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/social-media-metrics-101-playbook/,/resources/,301,,,ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/strategy-101-playbook/,/resources/,301,0,1,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/playbooks/the-future-of-work-playbook/,/resources/,301,0,5,GSC-Performance; GSC-Coverage; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/types/blog/,/resources/,301,0,1,GSC-Performance; ScreamingFrog,"Low-traffic resources content, bucketed to hub per Phase 0A rule."
https://fesagency.pt/en/resources/types/playbooks/,NEEDS MANUAL REVIEW,manual-review,2,17,GSC-Performance; GSC-Coverage; ScreamingFrog,"Non-trivial traffic (2 clicks / 17 impr) for a /resources/ page being folded into the generic hub — needs a specific target, not auto-mapped to /resources/."
https://fesagency.pt/en/services/,/systems/,301,5,567,GSC-Performance; GSC-Coverage; ScreamingFrog,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands. Notable traffic (5c/567i) — confirm Systems messaging covers this specific service."
https://fesagency.pt/en/tech-refresh/,/tech-refresh/,200,23,625,GSC-Performance; GSC-Coverage; ScreamingFrog,Survives unchanged; nav placement moves to footer per confirmed IA.
https://fesagency.pt/en/video-photography-services/,/systems/,301,4,352,GSC-Performance; GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands. Notable traffic (4c/352i) — confirm Systems messaging covers this specific service."
https://fesagency.pt/new/,/,301,22,1321,GSC-Performance; GSC-Coverage,"Legacy '/new/' staging prefix, homepage duplicate — see /new/ cluster note."
https://fesagency.pt/new/about-us/,/agency/,301,2,178,GSC-Performance,"'About' content merges into Agency per confirmed IA (10-years story, culture, 'What is FES Agency'). Notable traffic (2c/178i) — confirm Agency page covers this content angle."
https://fesagency.pt/new/projects/agencia-de-energia-do-porto/,NEEDS MANUAL REVIEW,manual-review,0,25,GSC-Performance,"No matching '/en/projects/agencia-de-energia-do-porto/' found in the current crawl/index — can't confirm this project case study still exists under that name. Best guess: /projects/ hub, but confirm before mapping specifically."
https://fesagency.pt/new/projects/chemitek/,NEEDS MANUAL REVIEW,manual-review,0,5,GSC-Performance,"No matching '/en/projects/chemitek/' found in the current crawl/index — can't confirm this project case study still exists under that name. Best guess: /projects/ hub, but confirm before mapping specifically."
https://fesagency.pt/new/projects/dashlane/,/projects/dashlane/,301,0,2,GSC-Performance,"Legacy 'new/' prefix duplicate, matches live project slug 'dashlane'."
https://fesagency.pt/new/projects/eit-health/,NEEDS MANUAL REVIEW,manual-review,0,21,GSC-Performance,"No matching '/en/projects/eit-health/' found in the current crawl/index — can't confirm this project case study still exists under that name. Best guess: /projects/ hub, but confirm before mapping specifically."
